seed,condition,epoch,phase,burst,task_count,closed,closure_rate_bps,operational_debt_auc,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count
20260510,oasg_adaptive,14,longrun_eval,rollback_receipt_gap,8,3,3750,14,5,4,0,5,8,3112,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260510,oasg_adaptive,15,longrun_eval,recovery,8,3,3750,12,5,2,0,5,8,2256,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260510,oasg_adaptive,16,longrun_eval,validator_failure_burst,8,3,3750,14,5,4,0,5,8,4069,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260510,oasg_adaptive,17,longrun_eval,context_budget_pressure,8,3,3750,14,5,4,0,5,8,2154,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260510,oasg_adaptive,18,longrun_eval,obligation_backlog_burst,8,5,6250,8,3,2,0,3,8,2437,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260510,oasg_adaptive,19,longrun_eval,stale_format_drift,8,3,3750,13,5,3,0,5,8,2214,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260510,oasg_adaptive,20,longrun_eval,rollback_receipt_gap,8,5,6250,8,3,2,0,3,8,2495,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260510,oasg_observe_only,4,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1755,[],0,0
20260510,oasg_observe_only,5,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1790,[],0,0
20260510,oasg_observe_only,6,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1796,[],0,0
20260510,oasg_observe_only,7,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,2806,[],0,0
20260510,oasg_observe_only,8,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1766,[],0,0
20260510,oasg_observe_only,9,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,1764,[],0,0
20260510,oasg_observe_only,10,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1872,[],0,0
20260510,oasg_observe_only,11,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1778,[],0,0
20260510,oasg_observe_only,12,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1772,[],0,0
20260510,oasg_observe_only,13,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1810,[],0,0
20260510,oasg_observe_only,14,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,2727,[],0,0
20260510,oasg_observe_only,15,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,1761,[],0,0
20260510,oasg_observe_only,16,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,3684,[],0,0
20260510,oasg_observe_only,17,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1769,[],0,0
20260510,oasg_observe_only,18,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1835,[],0,0
20260510,oasg_observe_only,19,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1777,[],0,0
20260510,oasg_observe_only,20,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1946,[],0,0
20260511,baseline_fixed,4,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1853,[],0,0
20260511,baseline_fixed,5,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1761,[],0,0
20260511,baseline_fixed,6,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,2714,[],0,0
20260511,baseline_fixed,7,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1853,[],0,0
20260511,baseline_fixed,8,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,2816,[],0,0
20260511,baseline_fixed,9,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,1759,[],0,0
20260511,baseline_fixed,10,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1860,[],0,0
20260511,baseline_fixed,11,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1860,[],0,0
20260511,baseline_fixed,12,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1868,[],0,0
20260511,baseline_fixed,13,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1896,[],0,0
20260511,baseline_fixed,14,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1766,[],0,0
20260511,baseline_fixed,15,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,2723,[],0,0
20260511,baseline_fixed,16,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1810,[],0,0
20260511,baseline_fixed,17,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1774,[],0,0
20260511,baseline_fixed,18,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1797,[],0,0
20260511,baseline_fixed,19,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1799,[],0,0
20260511,baseline_fixed,20,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1766,[],0,0
20260511,forced_policy_positive_control,4,longrun_eval,validator_failure_burst,8,5,6250,6,3,0,0,3,8,2045,[],0,0
20260511,forced_policy_positive_control,5,longrun_eval,context_budget_pressure,8,5,6250,6,3,0,0,3,8,1967,[],0,0
20260511,forced_policy_positive_control,6,longrun_eval,obligation_backlog_burst,8,4,5000,8,4,0,0,4,8,2384,[],0,0
20260511,forced_policy_positive_control,7,longrun_eval,stale_format_drift,8,5,6250,6,3,0,0,3,8,2039,[],0,0
20260511,forced_policy_positive_control,8,longrun_eval,rollback_receipt_gap,8,5,6250,6,3,0,0,3,8,2510,[],0,0
20260511,forced_policy_positive_control,9,longrun_eval,recovery,8,5,6250,6,3,0,0,3,8,1967,[],0,0
20260511,forced_policy_positive_control,10,longrun_eval,validator_failure_burst,8,6,7500,4,2,0,0,2,8,2124,[],0,0
20260511,forced_policy_positive_control,11,longrun_eval,context_budget_pressure,8,5,6250,6,3,0,0,3,8,2045,[],0,0
20260511,forced_policy_positive_control,12,longrun_eval,obligation_backlog_burst,8,6,7500,4,2,0,0,2,8,2127,[],0,0
20260511,forced_policy_positive_control,13,longrun_eval,stale_format_drift,8,6,7500,4,2,0,0,2,8,2139,[],0,0
20260511,forced_policy_positive_control,14,longrun_eval,rollback_receipt_gap,8,5,6250,6,3,0,0,3,8,1976,[],0,0
20260511,forced_policy_positive_control,15,longrun_eval,recovery,8,5,6250,6,3,0,0,3,8,2395,[],0,0
20260511,forced_policy_positive_control,16,longrun_eval,validator_failure_burst,8,6,7500,4,2,0,0,2,8,2101,[],0,0
20260511,forced_policy_positive_control,17,longrun_eval,context_budget_pressure,8,6,7500,4,2,0,0,2,8,2058,[],0,0
20260511,forced_policy_positive_control,18,longrun_eval,obligation_backlog_burst,8,6,7500,4,2,0,0,2,8,2069,[],0,0
20260511,forced_policy_positive_control,19,longrun_eval,stale_format_drift,8,7,8750,2,1,0,0,1,8,2101,[],0,0
20260511,forced_policy_positive_control,20,longrun_eval,rollback_receipt_gap,8,6,7500,4,2,0,0,2,8,2031,[],0,0
20260511,oasg_adaptive,4,longrun_eval,validator_failure_burst,8,4,5000,10,4,2,0,4,8,2372,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,5,longrun_eval,context_budget_pressure,8,3,3750,13,5,3,0,5,8,2196,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,6,longrun_eval,obligation_backlog_burst,8,3,3750,13,5,3,0,5,8,3154,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,7,longrun_eval,stale_format_drift,8,4,5000,10,4,2,0,4,8,2375,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,8,longrun_eval,rollback_receipt_gap,8,4,5000,11,4,3,0,4,8,3279,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,9,longrun_eval,recovery,8,3,3750,13,5,3,0,5,8,2198,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,10,longrun_eval,validator_failure_burst,8,5,6250,8,3,2,0,3,8,2456,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,11,longrun_eval,context_budget_pressure,8,4,5000,10,4,2,0,4,8,2378,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,12,longrun_eval,obligation_backlog_burst,8,5,6250,8,3,2,0,3,8,2462,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,13,longrun_eval,stale_format_drift,8,5,6250,8,3,2,0,3,8,2475,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,14,longrun_eval,rollback_receipt_gap,8,3,3750,13,5,3,0,5,8,2206,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,15,longrun_eval,recovery,8,4,5000,11,4,3,0,4,8,3167,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,16,longrun_eval,validator_failure_burst,8,5,6250,8,3,2,0,3,8,2433,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,17,longrun_eval,context_budget_pressure,8,4,5000,11,4,3,0,4,8,2289,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,18,longrun_eval,obligation_backlog_burst,8,4,5000,11,4,3,0,4,8,2296,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,19,longrun_eval,stale_format_drift,8,6,7500,6,2,2,0,2,8,2434,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_adaptive,20,longrun_eval,rollback_receipt_gap,8,3,3750,14,5,4,0,5,8,2151,"['mut_family_safe_expr_prompt_safe_python_expression', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_obligation_closure', 'mut_strict_json_minimal_code_transform']",1,0
20260511,oasg_observe_only,4,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1853,[],0,0
20260511,oasg_observe_only,5,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1761,[],0,0
20260511,oasg_observe_only,6,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,2714,[],0,0
20260511,oasg_observe_only,7,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1853,[],0,0
20260511,oasg_observe_only,8,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,2816,[],0,0
20260511,oasg_observe_only,9,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,1759,[],0,0
20260511,oasg_observe_only,10,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1860,[],0,0
20260511,oasg_observe_only,11,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1860,[],0,0
20260511,oasg_observe_only,12,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1868,[],0,0
20260511,oasg_observe_only,13,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1896,[],0,0
20260511,oasg_observe_only,14,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1766,[],0,0
20260511,oasg_observe_only,15,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,2723,[],0,0
20260511,oasg_observe_only,16,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1810,[],0,0
20260511,oasg_observe_only,17,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1774,[],0,0
20260511,oasg_observe_only,18,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1797,[],0,0
20260511,oasg_observe_only,19,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1799,[],0,0
20260511,oasg_observe_only,20,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1766,[],0,0
20260512,baseline_fixed,4,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1848,[],0,0
20260512,baseline_fixed,5,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1790,[],0,0
20260512,baseline_fixed,6,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1858,[],0,0
20260512,baseline_fixed,7,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,2744,[],0,0
20260512,baseline_fixed,8,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1806,[],0,0
20260512,baseline_fixed,9,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,2810,[],0,0
20260512,baseline_fixed,10,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,2810,[],0,0
20260512,baseline_fixed,11,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1803,[],0,0
20260512,baseline_fixed,12,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1759,[],0,0
20260512,baseline_fixed,13,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1761,[],0,0
20260512,baseline_fixed,14,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1809,[],0,0
20260512,baseline_fixed,15,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,1776,[],0,0
20260512,baseline_fixed,16,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1794,[],0,0
20260512,baseline_fixed,17,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1768,[],0,0
20260512,baseline_fixed,18,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,3686,[],0,0
20260512,baseline_fixed,19,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1862,[],0,0
20260512,baseline_fixed,20,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1957,[],0,0
20260512,forced_policy_positive_control,4,longrun_eval,validator_failure_burst,8,5,6250,6,3,0,0,3,8,2038,[],0,0
20260512,forced_policy_positive_control,5,longrun_eval,context_budget_pressure,8,5,6250,6,3,0,0,3,8,2008,[],0,0
20260512,forced_policy_positive_control,6,longrun_eval,obligation_backlog_burst,8,5,6250,6,3,0,0,3,8,2045,[],0,0
20260512,forced_policy_positive_control,7,longrun_eval,stale_format_drift,8,5,6250,6,3,0,0,3,8,2477,[],0,0
20260512,forced_policy_positive_control,8,longrun_eval,rollback_receipt_gap,8,6,7500,4,2,0,0,2,8,2105,[],0,0
20260512,forced_policy_positive_control,9,longrun_eval,recovery,8,5,6250,6,3,0,0,3,8,2509,[],0,0
20260512,forced_policy_positive_control,10,longrun_eval,validator_failure_burst,8,5,6250,6,3,0,0,3,8,2514,[],0,0
20260512,forced_policy_positive_control,11,longrun_eval,context_budget_pressure,8,5,6250,6,3,0,0,3,8,2014,[],0,0
20260512,forced_policy_positive_control,12,longrun_eval,obligation_backlog_burst,8,4,5000,8,4,0,0,4,8,1918,[],0,0
20260512,forced_policy_positive_control,13,longrun_eval,stale_format_drift,8,4,5000,8,4,0,0,4,8,1918,[],0,0
20260512,forced_policy_positive_control,14,longrun_eval,rollback_receipt_gap,8,6,7500,4,2,0,0,2,8,2103,[],0,0
20260512,forced_policy_positive_control,15,longrun_eval,recovery,8,6,7500,4,2,0,0,2,8,2014,[],0,0
20260512,forced_policy_positive_control,16,longrun_eval,validator_failure_burst,8,6,7500,4,2,0,0,2,8,2095,[],0,0
20260512,forced_policy_positive_control,17,longrun_eval,context_budget_pressure,8,6,7500,4,2,0,0,2,8,2090,[],0,0
